pair,direction,entry_price,exit_price,position_size,pnl,pips,entry_time,exit_time,duration,reason,confidence,risk_reward,balance_before,balance_after
EURUSD=X,long,1.020712342453003,1.0242851112365723,34512.98544687239,123.30691703237,35.7276878356938,2025-01-13 10:00:00+00:00,2025-01-13 21:00:00+00:00,0 days 11:00:00,Take Profit,0.5224951505661011,2.0,2789.963596351962,2913.2705133843324
EURUSD=X,long,1.0248951580047607,1.0294540260314942,33575.92718724277,153.0682209218512,45.588680267334425,2025-01-14 05:00:00+00:00,2025-01-14 15:00:00+00:00,0 days 10:00:00,Take Profit,0.5090411901473999,2.0,2913.2705133843324,3066.3387343061836
EURUSD=X,short,1.0345682237625122,1.0310215618133545,43826.86572363767,155.43907701287213,35.46661949157759,2025-01-15 13:00:00+00:00,2025-01-15 15:00:00+00:00,0 days 02:00:00,Take Profit,0.5374478697776794,2.0,3066.3387343061836,3221.7778113190557
EURUSD=X,long,1.028794970703125,1.0398415658950806,26915.665505109264,297.32646115702545,110.4659519195561,2025-01-15 17:00:00+00:00,2025-01-20 13:00:00+00:00,4 days 20:00:00,Take Profit,0.6711263656616211,2.0,3221.7778113190557,3519.104272476081
EURUSD=X,short,1.0421181056976319,1.0368991758346557,39137.40451954234,204.25536920641602,52.18929862976118,2025-01-20 19:00:00+00:00,2025-01-21 00:00:00+00:00,0 days 05:00:00,Take Profit,0.5206306576728821,2.0,3519.104272476081,3723.359641682497
EURUSD=X,short,1.0371444557189942,1.0427354242324829,20760.48998330679,-116.07124582126634,-55.909685134887255,2025-01-21 01:00:00+00:00,2025-01-21 16:00:00+00:00,0 days 15:00:00,Stop Loss,0.5145215392112732,2.0,3723.359641682497,3607.2883958612306
EURUSD=X,short,1.042335424232483,1.0451320077896118,41152.68414313293,-115.08691980640322,-27.965835571288622,2025-01-21 17:00:00+00:00,2025-01-22 09:00:00+00:00,0 days 16:00:00,Stop Loss,0.5481268763542175,2.0,3607.2883958612306,3492.2014760548273
EURUSD=X,short,1.0449505184173584,1.0425181056976318,44385.837425444646,107.96467552936882,24.324127197266066,2025-01-22 10:00:00+00:00,2025-01-22 15:00:00+00:00,0 days 05:00:00,Take Profit,0.5174477100372314,2.0,3492.2014760548273,3600.166151584196
EURUSD=X,long,1.0425181056976318,1.0403826568603516,39407.017104413564,-84.15166885630205,-21.354488372802294,2025-01-22 16:00:00+00:00,2025-01-23 01:00:00+00:00,0 days 09:00:00,Stop Loss,0.7130531072616577,2.0,3600.166151584196,3516.014482727894
EURUSD=X,long,1.0408910181045532,1.0436413619995117,52388.92514354266,144.08756043198252,27.5034389495854,2025-01-23 02:00:00+00:00,2025-01-23 17:00:00+00:00,0 days 15:00:00,Take Profit,0.7125487327575684,2.0,3516.014482727894,3660.1020431598768
EURUSD=X,short,1.049338254737854,1.047320451927185,53675.126131540674,108.30582037123528,20.178028106689894,2025-01-24 08:00:00+00:00,2025-01-24 13:00:00+00:00,0 days 05:00:00,Take Profit,0.5344915390014648,2.0,3660.1020431598768,3768.407863531112
EURUSD=X,short,1.0490078065872193,1.052388515663147,38262.14065212744,-129.35316616706908,-33.8070907592769,2025-01-24 14:00:00+00:00,2025-01-24 15:00:00+00:00,0 days 01:00:00,Stop Loss,0.5408383011817932,2.0,3768.407863531112,3639.054697364043
EURUSD=X,short,1.0495585535049439,1.052720751953125,31577.668872591606,-99.85485550608607,-31.621984481811083,2025-01-24 18:00:00+00:00,2025-01-27 12:00:00+00:00,2 days 18:00:00,Stop Loss,0.5010013580322266,2.0,3639.054697364043,3539.199841857957
EURUSD=X,short,1.0522100065231323,1.049738254737854,50006.835699782016,123.60448541705804,24.717517852783644,2025-01-27 13:00:00+00:00,2025-01-27 16:00:00+00:00,0 days 03:00:00,Take Profit,0.5354236960411072,2.0,3539.199841857957,3662.804327275015
