pair,direction,entry_price,exit_price,position_size,entry_time,exit_time,exit_reason,pnl,pnl_pct,confidence,entry_balance,exit_balance,duration_hours
EURUSD=X,buy,1.0926573276519775,1.090869426727295,1387.96932879262,2024-10-14 00:00:00+01:00,2024-10-14 16:00:00+01:00,Stop Loss,-2.4815516463794367,-0.1636286948740513,0.8,1516.574857661453,1514.0933060150737,16.0
EURUSD=X,sell,1.090869426727295,1.0866022109985352,1387.96932879262,2024-10-14 16:00:00+01:00,2024-10-16 18:00:00+01:00,Take Profit,5.922764550860003,0.39117566449375996,0.73,1514.0933060150737,1520.0160705659337,50.0
EURUSD=X,sell,1.0866022109985352,1.08236825466156,1398.8707690637884,2024-10-16 18:00:00+01:00,2024-10-21 16:00:00+01:00,Take Profit,5.922757757286855,0.3896509959320159,0.73,1520.0160705659337,1525.9388283232206,118.0
GBPUSD=X,buy,1.2987180948257446,1.2959243059158325,1174.9577020623274,2024-10-21 17:00:00+01:00,2024-10-22 13:00:00+01:00,Stop Loss,-3.2825837976375465,-0.21511896392626806,0.72,1525.9388283232206,1522.6562445255831,20.0
GBPUSD=X,sell,1.2959243059158325,1.2983134984970093,1174.9577020623274,2024-10-22 13:00:00+01:00,2024-10-22 18:00:00+01:00,Stop Loss,-2.807200224963804,-0.18436204724845487,0.73,1522.6562445255831,1519.8490443006194,5.0
EURUSD=X,sell,1.0806137323379517,1.0830715894699097,1406.4683788650032,2024-10-22 18:00:00+01:00,2024-10-24 20:00:00+01:00,Stop Loss,-3.4568983358667653,-0.2274501108402846,0.73,1519.8490443006194,1516.3921459647527,50.0
USDJPY=X,sell,151.83200073242188,152.04400634765625,9.987302667750104,2024-10-24 20:00:00+01:00,2024-10-25 14:00:00+01:00,Stop Loss,-2.1173642466082754,-0.13963170755287543,0.73,1516.3921459647527,1514.2747817181444,18.0
EURUSD=X,buy,1.0835410356521606,1.081548810005188,1397.5241655769264,2024-10-25 14:00:00+01:00,2024-10-25 16:00:00+01:00,Stop Loss,-2.7841834849264138,-0.18386250095028264,0.75,1514.2747817181444,1511.490598233218,2.0
EURUSD=X,sell,1.081548810005188,1.0837758779525757,1397.5241655769264,2024-10-25 16:00:00+01:00,2024-10-30 08:00:00+00:00,Stop Loss,-3.1123812748561073,-0.20591469629345832,0.73,1511.490598233218,1508.378216958362,113.0
EURUSD=X,buy,1.0837758779525757,1.0816657543182373,1391.7805771871647,2024-10-30 08:00:00+00:00,2024-10-30 12:00:00+00:00,Stop Loss,-2.9368290897357467,-0.1947011072367413,0.73,1508.378216958362,1505.4413878686262,4.0
EURUSD=X,buy,1.0845986604690552,1.0886130332946777,1388.0170082614427,2024-10-30 13:00:00+00:00,2024-10-31 20:00:00+00:00,Take Profit,5.572017759466658,0.37012518749437395,0.73,1505.4413878686262,1511.0134056280929,31.0
EURUSD=X,buy,1.0886130332946777,1.0864840745925903,1388.0170082614427,2024-10-31 20:00:00+00:00,2024-11-01 08:00:00+00:00,Stop Loss,-2.9550308883835203,-0.1955661595970542,0.73,1511.0134056280929,1508.0583747397093,12.0
EURUSD=X,sell,1.0864840745925903,1.0889687538146973,1388.0170082614427,2024-11-01 08:00:00+00:00,2024-11-01 12:00:00+00:00,Stop Loss,-3.448777020358235,-0.2286898888084152,0.73,1508.0583747397093,1504.609597719351,4.0
GBPUSD=X,sell,1.2954038381576538,1.292089819908142,1161.4984867261421,2024-11-01 12:00:00+00:00,2024-11-01 19:00:00+00:00,Take Profit,3.84922718179068,0.25582896637275476,0.8,1504.609597719351,1508.4588249011417,7.0
EURUSD=X,sell,1.0837758779525757,1.088020920753479,1391.8549541357752,2024-11-01 19:00:00+00:00,2024-11-04 00:00:00+00:00,Stop Loss,-5.908483852955693,-0.3916900982261091,0.73,1508.4588249011417,1502.550341048186,53.0
GBPUSD=X,buy,1.2962603569030762,1.2941800355911255,1159.1423999403653,2024-11-04 00:00:00+00:00,2024-11-04 16:00:00+00:00,Stop Loss,-2.4113886381816045,-0.16048637921172135,0.75,1502.550341048186,1500.1389524100045,16.0
EURUSD=X,sell,1.0886130332946777,1.0907504558563232,1378.027734859877,2024-11-04 16:00:00+00:00,2024-11-05 14:00:00+00:00,Stop Loss,-2.945427571062755,-0.1963436497886322,0.75,1500.1389524100045,1497.1935248389418,22.0
USDJPY=X,sell,151.81199645996094,152.04200744628906,9.862155559187402,2024-11-05 14:00:00+00:00,2024-11-05 15:00:00+00:00,Stop Loss,-2.2684041274900952,-0.15151041531081397,0.73,1497.1935248389418,1494.9251207114517,1.0
EURUSD=X,sell,1.0905125141143799,1.0932546854019165,1370.8463693564313,2024-11-05 15:00:00+00:00,2024-11-05 17:00:00+00:00,Stop Loss,-3.7590955536730277,-0.2514571132421691,0.72,1494.9251207114517,1491.1660251577787,2.0
USDJPY=X,buy,151.67999267578125,151.4510040283203,9.831000113147244,2024-11-05 17:00:00+00:00,2024-11-05 19:00:00+00:00,Stop Loss,-2.251187419097911,-0.15096826115386547,0.8,1491.1660251577787,1488.9148377386807,2.0
USDJPY=X,buy,151.5279998779297,152.91600036621094,9.826004691793887,2024-11-05 20:00:00+00:00,2024-11-06 00:00:00+00:00,Take Profit,13.63849931006377,0.9160026459792364,0.72,1488.9148377386807,1502.5533370487444,4.0
EURUSD=X,sell,1.0847163200378418,1.076774001121521,1385.2039554418484,2024-11-06 00:00:00+00:00,2024-11-06 02:00:00+00:00,Take Profit,11.001731578268188,0.732202398876392,0.75,1502.5533370487444,1513.5550686270126,2.0
EURUSD=X,buy,1.076774001121521,1.0742292404174805,1405.6385713720422,2024-11-06 02:00:00+00:00,2024-11-06 03:00:00+00:00,Stop Loss,-3.577013800511239,-0.23633192307671017,0.8,1513.5550686270126,1509.9780548265014,1.0
GBPUSD=X,sell,1.28864324092865,1.291205644607544,1171.7580218232847,2024-11-06 03:00:00+00:00,2024-11-06 04:00:00+00:00,Stop Loss,-3.002517065893591,-0.198845079655054,0.73,1509.9780548265014,1506.9755377606077,1.0
EURUSD=X,buy,1.077934741973877,1.0727311372756958,1398.021122318672,2024-11-06 04:00:00+00:00,2024-11-06 06:00:00+00:00,Stop Loss,-7.274749280253929,-0.48273837882360954,0.72,1506.9755377606077,1499.7007884803538,2.0
GBPUSD=X,buy,1.2862894535064697,1.2918895483016968,1165.9123725162463,2024-11-06 06:00:00+00:00,2024-11-06 08:00:00+00:00,Take Profit,6.529219809019053,0.4353681653815164,0.8,1499.7007884803538,1506.2300082893728,2.0
GBPUSD=X,sell,1.2918895483016968,1.28564453125,1165.912372516246,2024-11-06 08:00:00+00:00,2024-11-06 11:00:00+00:00,Take Profit,7.281142647148202,0.48340177841878246,0.73,1506.2300082893728,1513.511150936521,3.0
GBPUSD=X,buy,1.28564453125,1.2889255285263062,1177.239208932015,2024-11-06 11:00:00+00:00,2024-11-06 15:00:00+00:00,Take Profit,3.86251863806675,0.2552025226690088,0.8,1513.511150936521,1517.373669574588,4.0
USDJPY=X,buy,154.58299255371094,154.30799865722656,9.815915997662977,2024-11-06 16:00:00+00:00,2024-11-06 23:00:00+00:00,Stop Loss,-2.6993169877606533,-0.177894017926213,0.73,1517.373669574588,1514.6743525868274,7.0
EURUSD=X,sell,1.0734220743179321,1.0771219730377197,1411.070620612375,2024-11-06 23:00:00+00:00,2024-11-07 08:00:00+00:00,Stop Loss,-5.220818382733618,-0.3446825632068883,0.71,1514.6743525868274,1509.4535342040938,9.0
EURUSD=X,buy,1.0771219730377197,1.0750375986099243,1401.376605424829,2024-11-07 08:00:00+00:00,2024-11-07 09:00:00+00:00,Stop Loss,-2.9209935600582524,-0.19351331418084605,0.73,1509.4535342040938,1506.5325406440356,1.0
EURUSD=X,buy,1.0750375986099243,1.079563856124878,1401.376605424829,2024-11-07 09:00:00+00:00,2024-11-07 13:00:00+00:00,Take Profit,6.342991391584317,0.42103248489227574,0.73,1506.5325406440356,1512.87553203562,4.0
EURUSD=X,sell,1.079563856124878,1.08119797706604,1401.376605424829,2024-11-07 13:00:00+00:00,2024-11-07 14:00:00+00:00,Stop Loss,-2.2900188573793834,-0.1513686227906729,0.8,1512.87553203562,1510.5855131782405,1.0
EURUSD=X,buy,1.0794472694396973,1.0773539543151855,1399.4064888063795,2024-11-07 16:00:00+00:00,2024-11-08 12:00:00+00:00,Stop Loss,-2.9293987683582334,-0.19392472275169906,0.73,1510.5855131782405,1507.6561144098823,20.0
GBPUSD=X,buy,1.2943978309631348,1.29027259349823,1164.754821389083,2024-11-08 12:00:00+00:00,2024-11-08 16:00:00+00:00,Stop Loss,-4.804890226622726,-0.31869934932101057,0.8,1507.6561144098823,1502.8512241832595,4.0
